productname,yearmonth,warehouseinventory,inventorycostperunit,month,year,date,productdepartment,productcategory
Perfect Fitness Perfect Rip Deck,201712,0,0.69517,12,2017,2017-12,Apparel,Cleats
Nike Men's Dri-FIT Victory Golf Polo,201712,2,1.29291,12,2017,2017-12,Golf,Women's Apparel
O'Brien Men's Neoprene Life Vest,201712,0,0.56531,12,2017,2017-12,Fan Shop,Indoor/Outdoor Games
Nike Men's Free 5.0+ Running Shoe,201712,1,1.26321,12,2017,2017-12,Footwear,Cardio Equipment
Under Armour Girls' Toddler Spine Surge Runni,201712,0,1.47648,12,2017,2017-12,Golf,Shop By Sport
Nike Men's CJ Elite 2 TD Football Cleat,201712,0,0.69591,12,2017,2017-12,Apparel,Men's Footwear
Field & Stream Sportsman 16 Gun Fire Safe,201712,0,1.39148,12,2017,2017-12,Fan Shop,Fishing
Pelican Sunstream 100 Kayak,201712,0,0.20291,12,2017,2017-12,Fan Shop,Water Sports
Diamondback Women's Serene Classic Comfort Bi,201712,0,1.54601,12,2017,2017-12,Fan Shop,Camping & Hiking
ENO Atlas Hammock Straps,201712,0,0.48119,12,2017,2017-12,Fan Shop,Hunting & Shooting
Nike Men's Comfort 2 Slide,201712,0,1.96183,12,2017,2017-12,Fitness,Tennis & Racquet
adidas Youth Germany Black/Red Away Match Soc,201712,0,2.07809,12,2017,2017-12,Golf,Girls' Apparel
Team Golf St. Louis Cardinals Putter Grip,201712,0,0.6607,12,2017,2017-12,Outdoors,Accessories
LIJA Women's Eyelet Sleeveless Golf Polo,201712,0,1.50903,12,2017,2017-12,Outdoors,Golf Shoes
adidas Men's F10 Messi TRX FG Soccer Cleat,201712,0,1.66425,12,2017,2017-12,Fitness,Baseball & Softball
Glove It Women's Imperial Golf Glove,201712,0,1.56399,12,2017,2017-12,Outdoors,Golf Balls
Glove It Imperial Golf Towel,201712,0,2.24724,12,2017,2017-12,Outdoors,Trade-In
Bridgestone e6 Straight Distance NFL Carolina,201712,0,1.06684,12,2017,2017-12,Outdoors,Electronics
Glove It Women's Mod Oval 3-Zip Carry All Gol,201712,2,2.16158,12,2017,2017-12,Outdoors,Trade-In
Columbia Men's PFG Anchor Tough T-Shirt,201712,0,0.47667,12,2017,2017-12,Golf,Shop By Sport
Under Armour Women's Ignite Slide,201712,2,1.00809,12,2017,2017-12,Footwear,Electronics
Team Golf Tennessee Volunteers Putter Grip,201712,0,0.35118,12,2017,2017-12,Outdoors,Accessories
Titleist Pro V1x High Numbers Personalized Go,201712,0,0.75101,12,2017,2017-12,Outdoors,Electronics
Nike Men's Deutschland Weltmeister Winners Bl,201712,0,1.00566,12,2017,2017-12,Golf,Girls' Apparel
Bridgestone e6 Straight Distance NFL San Dieg,201712,0,0.20643,12,2017,2017-12,Outdoors,Electronics
Nike Women's Tempo Shorts,201712,0,1.62777,12,2017,2017-12,Footwear,Cardio Equipment
Team Golf Texas Longhorns Putter Grip,201712,2,2.24605,12,2017,2017-12,Outdoors,Accessories
Hirzl Women's Soffft Flex Golf Glove,201712,0,0.5795,12,2017,2017-12,Outdoors,Golf Balls
Clicgear 8.0 Shoe Brush,201712,0,1.39674,12,2017,2017-12,Outdoors,Golf Gloves
Hirzl Women's Hybrid Golf Glove,201712,0,1.06069,12,2017,2017-12,Outdoors,Golf Balls
Team Golf Pittsburgh Steelers Putter Grip,201712,0,0.43135,12,2017,2017-12,Outdoors,Accessories
Top Flite Women's 2017 XL Hybrid,201712,0,0.55428,12,2017,2017-12,Outdoors,Golf Apparel
Glove It Urban Brick Golf Towel,201712,0,0.70054,12,2017,2017-12,Outdoors,Trade-In
Nike Dri-FIT Crew Sock 6 Pack,201712,0,1.5948,12,2017,2017-12,Fitness,Hockey
TYR Boys' Team Digi Jammer,201712,0,0.63609,12,2017,2017-12,Golf,Girls' Apparel
Team Golf San Francisco Giants Putter Grip,201712,0,1.88895,12,2017,2017-12,Outdoors,Accessories
Clicgear Rovic Cooler Bag,201712,0,1.29098,12,2017,2017-12,Outdoors,Golf Gloves
Hirzl Men's Hybrid Golf Glove,201712,0,1.06017,12,2017,2017-12,Outdoors,Golf Balls
Titleist Pro V1x Golf Balls,201712,0,0.24553,12,2017,2017-12,Outdoors,Electronics
adidas Men's Germany Black Crest Away Tee,201712,0,1.27932,12,2017,2017-12,Golf,Girls' Apparel
Titleist Pro V1 High Numbers Personalized Gol,201712,0,0.94013,12,2017,2017-12,Outdoors,Electronics
Under Armour Women's Micro G Skulpt Running S,201712,0,2.31993,12,2017,2017-12,Footwear,Boxing & MMA
Under Armour Hustle Storm Medium Duffle Bag,201712,1,1.0308,12,2017,2017-12,Footwear,Fitness Accessories
Under Armour Women's Ignite PIP VI Slide,201712,0,1.88977,12,2017,2017-12,Footwear,Electronics
Bag Boy Beverage Holder,201712,0,0.73373,12,2017,2017-12,Outdoors,Golf Gloves
Under Armour Men's Tech II T-Shirt,201712,0,0.88756,12,2017,2017-12,Fitness,Lacrosse
Team Golf New England Patriots Putter Grip,201712,0,1.88503,12,2017,2017-12,Outdoors,Accessories
Under Armour Men's Compression EV SL Slide,201712,0,0.77155,12,2017,2017-12,Footwear,Electronics
