on_time,buy_times,days,%_on_time,group_days
55.55555555555556,9,4.555555555555555,50 - 75 %,0 - 10 days
50.0,2,5.0,25 - 50 %,0 - 10 days
50.0,4,3.5,25 - 50 %,0 - 10 days
42.857142857142854,7,62.285714285714285,25 - 50 %,60 - 70 days
60.0,5,6.0,50 - 75 %,0 - 10 days
75.0,4,3.0,50 - 75 %,0 - 10 days
0.0,2,13.0,0 - 25 %,10 - 20 days
33.33333333333333,3,318.6666666666667,25 - 50 %, 100 + days
0.0,5,2.4,0 - 25 %,0 - 10 days
0.0,3,2.0,0 - 25 %,0 - 10 days
0.0,5,144.6,0 - 25 %, 100 + days
0.0,2,2.0,0 - 25 %,0 - 10 days
75.0,4,4.5,50 - 75 %,0 - 10 days
70.0,10,3.0,50 - 75 %,0 - 10 days
0.0,1,6.0,0 - 25 %,0 - 10 days
0.0,5,8.8,0 - 25 %,0 - 10 days
33.33333333333333,3,35.333333333333336,25 - 50 %,30 - 40 days
66.66666666666666,9,50.333333333333336,50 - 75 %,50 - 60 days
75.0,4,3.0,50 - 75 %,0 - 10 days
80.0,5,4.4,75 - 100 %,0 - 10 days
16.666666666666664,6,9.0,0 - 25 %,0 - 10 days
0.0,1,4.0,0 - 25 %,0 - 10 days
80.0,5,56.0,75 - 100 %,50 - 60 days
0.0,1,5.0,0 - 25 %,0 - 10 days
0.0,4,2.0,0 - 25 %,0 - 10 days
41.66666666666667,12,3.6666666666666665,25 - 50 %,0 - 10 days
0.0,4,2.75,0 - 25 %,0 - 10 days
0.0,3,4.0,0 - 25 %,0 - 10 days
0.0,1,5.0,0 - 25 %,0 - 10 days
50.0,4,5.25,25 - 50 %,0 - 10 days
0.0,2,35.5,0 - 25 %,30 - 40 days
0.0,1,2.0,0 - 25 %,0 - 10 days
80.0,5,4.2,75 - 100 %,0 - 10 days
20.0,5,4.0,0 - 25 %,0 - 10 days
66.66666666666666,3,124.0,50 - 75 %, 100 + days
66.66666666666666,3,124.0,50 - 75 %, 100 + days
75.0,4,3.5,50 - 75 %,0 - 10 days
0.0,2,88.0,0 - 25 %,80 - 90 days
40.0,10,6.9,25 - 50 %,0 - 10 days
50.0,2,2.5,25 - 50 %,0 - 10 days
0.0,5,2.6,0 - 25 %,0 - 10 days
33.33333333333333,3,40.333333333333336,25 - 50 %,40 - 50 days
20.0,5,3.8,0 - 25 %,0 - 10 days
33.33333333333333,3,131.0,25 - 50 %, 100 + days
0.0,2,717.5,0 - 25 %, 100 + days
0.0,2,2.0,0 - 25 %,0 - 10 days
83.33333333333334,6,19.0,75 - 100 %,10 - 20 days
50.0,2,4.0,25 - 50 %,0 - 10 days
50.0,2,5.0,25 - 50 %,0 - 10 days
60.0,5,11.0,50 - 75 %,10 - 20 days
40.0,5,5.2,25 - 50 %,0 - 10 days
20.0,5,2.4,0 - 25 %,0 - 10 days
0.0,1,2.0,0 - 25 %,0 - 10 days
