productdepartment,order_date,productcategory,productname,orderquantity,profit,date,warehouseinventory,inventorycostperunit,month_of_supply
Apparel,2015-01,Cleats,Perfect Fitness Perfect Rip Deck,456.0,22197.0,2015-01,254,0.495,0.56
Apparel,2015-01,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,104.0,6760.0,2015-01,6,1.001,0.06
Apparel,2015-02,Cleats,Perfect Fitness Perfect Rip Deck,378.0,17640.0,2015-02,675,0.482,1.79
Apparel,2015-02,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,100.0,6500.0,2015-02,108,0.717,1.08
Apparel,2015-03,Cleats,Perfect Fitness Perfect Rip Deck,442.0,20580.0,2015-03,542,1.456,1.23
Apparel,2015-03,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,107.0,6955.0,2015-03,169,2.208,1.58
Apparel,2015-04,Cleats,Perfect Fitness Perfect Rip Deck,403.0,19698.0,2015-04,633,1.229,1.57
Apparel,2015-04,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,127.0,8255.0,2015-04,98,1.216,0.77
Apparel,2015-05,Cleats,Perfect Fitness Perfect Rip Deck,330.0,16023.0,2015-05,624,0.729,1.89
Apparel,2015-05,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,104.0,6760.0,2015-05,161,1.206,1.55
Apparel,2015-06,Cleats,Perfect Fitness Perfect Rip Deck,371.0,18522.0,2015-06,462,2.304,1.25
Apparel,2015-06,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,111.0,7215.0,2015-06,74,2.007,0.67
Apparel,2015-07,Cleats,Perfect Fitness Perfect Rip Deck,398.0,18963.0,2015-07,1,1.188,0.0
Apparel,2015-07,Crafts,Porcelain crafts,1.0,231.0,2015-07,0,1.618,0.0
Apparel,2015-07,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,121.0,7865.0,2015-07,216,0.852,1.79
Apparel,2015-08,Baby,Baby sweater,3.0,84.0,2015-08,4,1.273,1.33
Apparel,2015-08,Cleats,Perfect Fitness Perfect Rip Deck,374.0,18228.0,2015-08,508,1.131,1.36
Apparel,2015-08,Crafts,Porcelain crafts,3.0,693.0,2015-08,1,1.649,0.33
Apparel,2015-08,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,120.0,7800.0,2015-08,170,0.681,1.42
Apparel,2015-09,Baby,Baby sweater,1.0,28.0,2015-09,1,0.283,1.0
Apparel,2015-09,Cleats,Perfect Fitness Perfect Rip Deck,339.0,16023.0,2015-09,550,0.745,1.62
Apparel,2015-09,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,98.0,6370.0,2015-09,36,0.45,0.37
Apparel,2015-10,Cleats,Perfect Fitness Perfect Rip Deck,328.0,16317.0,2015-10,48,1.855,0.15
Apparel,2015-10,Crafts,Porcelain crafts,3.0,693.0,2015-10,1,0.47,0.33
Apparel,2015-10,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,114.0,7410.0,2015-10,200,1.674,1.75
Apparel,2015-11,Cleats,Perfect Fitness Perfect Rip Deck,392.0,17787.0,2015-11,391,1.812,1.0
Apparel,2015-11,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,111.0,7215.0,2015-11,125,2.078,1.13
Apparel,2015-12,Cleats,Perfect Fitness Perfect Rip Deck,320.0,15582.0,2015-12,495,0.462,1.55
Apparel,2015-12,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,101.0,6565.0,2015-12,98,0.164,0.97
Apparel,2015-12,Women's Clothing,Summer dresses,1.0,99.0,2015-12,2,1.55,2.0
Apparel,2016-01,Cleats,Perfect Fitness Perfect Rip Deck,378.0,19110.0,2016-01,613,2.239,1.62
Apparel,2016-01,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,150.0,9750.0,2016-01,172,1.689,1.15
Apparel,2016-02,Cleats,Perfect Fitness Perfect Rip Deck,341.0,15288.0,2016-02,261,2.151,0.77
Apparel,2016-02,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,100.0,6500.0,2016-02,80,0.364,0.8
Apparel,2016-02,Women's Clothing,Summer dresses,2.0,198.0,2016-02,2,1.817,1.0
Apparel,2016-03,Cleats,Perfect Fitness Perfect Rip Deck,487.0,21756.0,2016-03,543,1.576,1.11
Apparel,2016-03,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,119.0,7735.0,2016-03,199,0.51,1.67
Apparel,2016-04,Cleats,Perfect Fitness Perfect Rip Deck,400.0,20433.0,2016-04,481,2.293,1.2
Apparel,2016-04,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,125.0,8125.0,2016-04,233,2.042,1.86
Apparel,2016-05,Cleats,Perfect Fitness Perfect Rip Deck,492.0,24549.0,2016-05,884,2.139,1.8
Apparel,2016-05,Cleats,Total Gym 1400,1.0,136.0,2016-05,1,0.877,1.0
Apparel,2016-05,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,112.0,7280.0,2016-05,17,1.424,0.15
Apparel,2016-06,Cleats,Perfect Fitness Perfect Rip Deck,423.0,21168.0,2016-06,211,1.185,0.5
Apparel,2016-06,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,117.0,7605.0,2016-06,82,2.008,0.7
Apparel,2016-07,Cleats,Perfect Fitness Perfect Rip Deck,387.0,18669.0,2016-07,51,2.184,0.13
Apparel,2016-07,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,130.0,8450.0,2016-07,206,1.077,1.58
Apparel,2016-08,Cleats,Perfect Fitness Perfect Rip Deck,478.0,23226.0,2016-08,931,1.867,1.95
Apparel,2016-08,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,137.0,8905.0,2016-08,261,0.779,1.91
Apparel,2016-08,Women's Clothing,Summer dresses,1.0,99.0,2016-08,0,1.696,0.0
Apparel,2016-09,Cleats,Perfect Fitness Perfect Rip Deck,399.0,19698.0,2016-09,582,1.349,1.46
Apparel,2016-09,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,98.0,6370.0,2016-09,34,1.88,0.35
Apparel,2016-10,Cleats,Perfect Fitness Perfect Rip Deck,427.0,20139.0,2016-10,12,1.36,0.03
Apparel,2016-10,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,141.0,9165.0,2016-10,182,0.777,1.29
Apparel,2016-11,Cleats,Perfect Fitness Perfect Rip Deck,384.0,18228.0,2016-11,411,1.593,1.07
Apparel,2016-11,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,116.0,7540.0,2016-11,166,0.316,1.43
Apparel,2016-12,Cleats,Perfect Fitness Perfect Rip Deck,403.0,20139.0,2016-12,674,0.364,1.67
Apparel,2016-12,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,131.0,8515.0,2016-12,119,1.36,0.91
